rok,pohlavi,vek_kod,vek_nazev,okres_lau_kod,okres_nazev,kraj_nuts_kod,kraj_nazev,pocet_vysetrenych,populace
2010,Z,66025029,25–29 let,CZ0714,Přerov,CZ071,Olomoucký kraj,2279,4439
2010,Z,66025029,25–29 let,CZ0715,Šumperk,CZ071,Olomoucký kraj,2198,3911
2010,Z,66025029,25–29 let,CZ0721,Kroměříž,CZ072,Zlínský kraj,2034,3583
2010,Z,66025029,25–29 let,CZ0722,Uherské Hradiště,CZ072,Zlínský kraj,2779,4900
2010,Z,66025029,25–29 let,CZ0723,Vsetín,CZ072,Zlínský kraj,2462,4839
2010,Z,66025029,25–29 let,CZ0724,Zlín,CZ072,Zlínský kraj,3802,6526
2010,Z,66025029,25–29 let,CZ0801,Bruntál,CZ080,Moravskoslezský kraj,1631,3116
2010,Z,66025029,25–29 let,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj,3766,6960
2010,Z,66025029,25–29 let,CZ0803,Karviná,CZ080,Moravskoslezský kraj,2176,9049
2010,Z,66025029,25–29 let,CZ0804,Nový Jičín,CZ080,Moravskoslezský kraj,2576,5047
2010,Z,66025029,25–29 let,CZ0805,Opava,CZ080,Moravskoslezský kraj,3124,6029
2010,Z,66025029,25–29 let,CZ0806,Ostrava-město,CZ080,Moravskoslezský kraj,5152,11196
2010,Z,66030034,30–34 let,CZ0100,Praha,CZ010,Hlavní město Praha,31769,60904
2010,Z,66030034,30–34 let,CZ0201,Benešov,CZ020,Středočeský kraj,2385,3833
2010,Z,66030034,30–34 let,CZ0202,Beroun,CZ020,Středočeský kraj,2467,3849
2010,Z,66030034,30–34 let,CZ0203,Kladno,CZ020,Středočeský kraj,4393,6803
2010,Z,66030034,30–34 let,CZ0204,Kolín,CZ020,Středočeský kraj,2602,4024
2010,Z,66030034,30–34 let,CZ0205,Kutná Hora,CZ020,Středočeský kraj,1786,2807
2010,Z,66030034,30–34 let,CZ0206,Mělník,CZ020,Středočeský kraj,2627,4311
2010,Z,66030034,30–34 let,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj,3858,5513
2010,Z,66030034,30–34 let,CZ0208,Nymburk,CZ020,Středočeský kraj,2717,4247
