rok,pohlavi,vek_kod,vek_nazev,okres_lau_kod,okres_nazev,kraj_nuts_kod,kraj_nazev,pocet_vysetreni,populace
2012,Z,66020024,20–24 let,CZ0634,Třebíč,CZ063,Vysočina,2903,3877
2012,Z,66020024,20–24 let,CZ0635,Žďár nad Sázavou,CZ063,Vysočina,3135,4010
2012,Z,66020024,20–24 let,CZ0641,Blansko,CZ064,Jihomoravský kraj,2670,3318
2012,Z,66020024,20–24 let,CZ0642,Brno-město,CZ064,Jihomoravský kraj,9692,10919
2012,Z,66020024,20–24 let,CZ0643,Brno-venkov,CZ064,Jihomoravský kraj,5404,6221
2012,Z,66020024,20–24 let,CZ0644,Břeclav,CZ064,Jihomoravský kraj,2984,3599
2012,Z,66020024,20–24 let,CZ0645,Hodonín,CZ064,Jihomoravský kraj,3308,4961
2012,Z,66020024,20–24 let,CZ0646,Vyškov,CZ064,Jihomoravský kraj,2298,2822
2012,Z,66020024,20–24 let,CZ0647,Znojmo,CZ064,Jihomoravský kraj,3040,3712
2012,Z,66020024,20–24 let,CZ0711,Jeseník,CZ071,Olomoucký kraj,924,1346
2012,Z,66020024,20–24 let,CZ0712,Olomouc,CZ071,Olomoucký kraj,6415,7463
2012,Z,66020024,20–24 let,CZ0713,Prostějov,CZ071,Olomoucký kraj,2845,3350
2012,Z,66020024,20–24 let,CZ0714,Přerov,CZ071,Olomoucký kraj,3350,4276
2012,Z,66020024,20–24 let,CZ0715,Šumperk,CZ071,Olomoucký kraj,3242,4037
2012,Z,66020024,20–24 let,CZ0721,Kroměříž,CZ072,Zlínský kraj,2702,3373
2012,Z,66020024,20–24 let,CZ0722,Uherské Hradiště,CZ072,Zlínský kraj,3682,4594
2012,Z,66020024,20–24 let,CZ0723,Vsetín,CZ072,Zlínský kraj,3336,4748
2012,Z,66020024,20–24 let,CZ0724,Zlín,CZ072,Zlínský kraj,4757,5958
2012,Z,66020024,20–24 let,CZ0801,Bruntál,CZ080,Moravskoslezský kraj,2555,3274
2012,Z,66020024,20–24 let,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj,5491,6943
2012,Z,66020024,20–24 let,CZ0803,Karviná,CZ080,Moravskoslezský kraj,4784,8676
2012,Z,66020024,20–24 let,CZ0804,Nový Jičín,CZ080,Moravskoslezský kraj,3805,5215
2012,Z,66020024,20–24 let,CZ0805,Opava,CZ080,Moravskoslezský kraj,4313,5760
2012,Z,66020024,20–24 let,CZ0806,Ostrava-město,CZ080,Moravskoslezský kraj,8305,10648
2012,Z,66025029,25–29 let,CZ0100,Praha,CZ010,Hlavní město Praha,39336,44958
2012,Z,66025029,25–29 let,CZ0201,Benešov,CZ020,Středočeský kraj,2571,2999
2012,Z,66025029,25–29 let,CZ0202,Beroun,CZ020,Středočeský kraj,2618,2768
2012,Z,66025029,25–29 let,CZ0203,Kladno,CZ020,Středočeský kraj,4527,4980
2012,Z,66025029,25–29 let,CZ0204,Kolín,CZ020,Středočeský kraj,2785,3210
2012,Z,66025029,25–29 let,CZ0205,Kutná Hora,CZ020,Středočeský kraj,2054,2431
2012,Z,66025029,25–29 let,CZ0206,Mělník,CZ020,Středočeský kraj,2966,3293
2012,Z,66025029,25–29 let,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj,3657,4242
2012,Z,66025029,25–29 let,CZ0208,Nymburk,CZ020,Středočeský kraj,2650,3053
2012,Z,66025029,25–29 let,CZ0209,Praha-východ,CZ020,Středočeský kraj,4820,4694
2012,Z,66025029,25–29 let,CZ020A,Praha-západ,CZ020,Středočeský kraj,3868,3795
2012,Z,66025029,25–29 let,CZ020B,Příbram,CZ020,Středočeský kraj,3068,3774
2012,Z,66025029,25–29 let,CZ020C,Rakovník,CZ020,Středočeský kraj,1470,1800
2012,Z,66025029,25–29 let,CZ0311,České Budějovice,CZ031,Jihočeský kraj,5775,6301
2012,Z,66025029,25–29 let,CZ0312,Český Krumlov,CZ031,Jihočeský kraj,1740,2036
2012,Z,66025029,25–29 let,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj,2175,2771
2012,Z,66025029,25–29 let,CZ0314,Písek,CZ031,Jihočeský kraj,1763,2114
2012,Z,66025029,25–29 let,CZ0315,Prachatice,CZ031,Jihočeský kraj,1242,1605
2012,Z,66025029,25–29 let,CZ0316,Strakonice,CZ031,Jihočeský kraj,1900,2294
2012,Z,66025029,25–29 let,CZ0317,Tábor,CZ031,Jihočeský kraj,2835,3264
2012,Z,66025029,25–29 let,CZ0321,Domažlice,CZ032,Plzeňský kraj,1531,1885
2012,Z,66025029,25–29 let,CZ0322,Klatovy,CZ032,Plzeňský kraj,2045,2670
2012,Z,66025029,25–29 let,CZ0323,Plzeň-město,CZ032,Plzeňský kraj,5593,6415
2012,Z,66025029,25–29 let,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj,1582,1870
2012,Z,66025029,25–29 let,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj,2147,2440
2012,Z,66025029,25–29 let,CZ0326,Rokycany,CZ032,Plzeňský kraj,1363,1593
2012,Z,66025029,25–29 let,CZ0327,Tachov,CZ032,Plzeňský kraj,1454,1910
2012,Z,66025029,25–29 let,CZ0411,Cheb,CZ041,Karlovarský kraj,2114,2977
2012,Z,66025029,25–29 let,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj,2834,3752
2012,Z,66025029,25–29 let,CZ0413,Sokolov,CZ041,Karlovarský kraj,2330,3044
2012,Z,66025029,25–29 let,CZ0421,Děčín,CZ042,Ústecký kraj,3060,4080
2012,Z,66025029,25–29 let,CZ0422,Chomutov,CZ042,Ústecký kraj,3310,4211
2012,Z,66025029,25–29 let,CZ0423,Litoměřice,CZ042,Ústecký kraj,3092,3616
2012,Z,66025029,25–29 let,CZ0424,Louny,CZ042,Ústecký kraj,2189,2821
2012,Z,66025029,25–29 let,CZ0425,Most,CZ042,Ústecký kraj,2735,3720
2012,Z,66025029,25–29 let,CZ0426,Teplice,CZ042,Ústecký kraj,3081,4093
2012,Z,66025029,25–29 let,CZ0427,Ústí nad Labem,CZ042,Ústecký kraj,3222,3780
2012,Z,66025029,25–29 let,CZ0511,Česká Lípa,CZ051,Liberecký kraj,2749,3396
2012,Z,66025029,25–29 let,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj,2437,2912
2012,Z,66025029,25–29 let,CZ0513,Liberec,CZ051,Liberecký kraj,4900,5637
2012,Z,66025029,25–29 let,CZ0514,Semily,CZ051,Liberecký kraj,1838,2282
2012,Z,66025029,25–29 let,CZ0521,Hradec Králové,CZ052,Královéhradecký kraj,4587,5149
