rok,pohlavi,vek_kod,vek_nazev,okres_lau_kod,okres_nazev,kraj_nuts_kod,kraj_nazev,pocet_vysetrenych,pocet_abnormalnich
2013,Z,66025059,25–59 let,CZ0201,Benešov,CZ020,Středočeský kraj,13118,842
2013,Z,66025059,25–59 let,CZ0202,Beroun,CZ020,Středočeský kraj,12396,495
2013,Z,66025059,25–59 let,CZ0203,Kladno,CZ020,Středočeský kraj,21561,800
2013,Z,66025059,25–59 let,CZ0204,Kolín,CZ020,Středočeský kraj,13183,493
2013,Z,66025059,25–59 let,CZ0205,Kutná Hora,CZ020,Středočeský kraj,9833,325
2013,Z,66025059,25–59 let,CZ0206,Mělník,CZ020,Středočeský kraj,13981,551
2013,Z,66025059,25–59 let,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj,19137,842
2013,Z,66025059,25–59 let,CZ0208,Nymburk,CZ020,Středočeský kraj,12978,439
2013,Z,66025059,25–59 let,CZ0209,Praha-východ,CZ020,Středočeský kraj,23515,954
2013,Z,66025059,25–59 let,CZ020A,Praha-západ,CZ020,Středočeský kraj,19487,751
2013,Z,66025059,25–59 let,CZ020B,Příbram,CZ020,Středočeský kraj,16216,1007
2013,Z,66025059,25–59 let,CZ020C,Rakovník,CZ020,Středočeský kraj,7973,379
2013,Z,66025059,25–59 let,CZ0311,České Budějovice,CZ031,Jihočeský kraj,28800,1626
2013,Z,66025059,25–59 let,CZ0312,Český Krumlov,CZ031,Jihočeský kraj,8998,344
2013,Z,66025059,25–59 let,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj,13247,338
2013,Z,66025059,25–59 let,CZ0314,Písek,CZ031,Jihočeský kraj,9549,264
2013,Z,66025059,25–59 let,CZ0315,Prachatice,CZ031,Jihočeský kraj,6660,294
2013,Z,66025059,25–59 let,CZ0316,Strakonice,CZ031,Jihočeský kraj,9260,364
2013,Z,66025059,25–59 let,CZ0317,Tábor,CZ031,Jihočeský kraj,15428,897
2013,Z,66025059,25–59 let,CZ0321,Domažlice,CZ032,Plzeňský kraj,8695,318
2013,Z,66025059,25–59 let,CZ0322,Klatovy,CZ032,Plzeňský kraj,11221,446
2013,Z,66025059,25–59 let,CZ0323,Plzeň-město,CZ032,Plzeňský kraj,27088,1147
2013,Z,66025059,25–59 let,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj,8753,294
2013,Z,66025059,25–59 let,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj,11418,454
2013,Z,66025059,25–59 let,CZ0326,Rokycany,CZ032,Plzeňský kraj,6370,236
2013,Z,66025059,25–59 let,CZ0327,Tachov,CZ032,Plzeňský kraj,7697,318
2013,Z,66025059,25–59 let,CZ0411,Cheb,CZ041,Karlovarský kraj,11127,566
2013,Z,66025059,25–59 let,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj,13831,1180
2013,Z,66025059,25–59 let,CZ0413,Sokolov,CZ041,Karlovarský kraj,11617,776
2013,Z,66025059,25–59 let,CZ0421,Děčín,CZ042,Ústecký kraj,15272,885
2013,Z,66025059,25–59 let,CZ0422,Chomutov,CZ042,Ústecký kraj,17065,1057
2013,Z,66025059,25–59 let,CZ0423,Litoměřice,CZ042,Ústecký kraj,16104,407
2013,Z,66025059,25–59 let,CZ0424,Louny,CZ042,Ústecký kraj,10513,382
2013,Z,66025059,25–59 let,CZ0425,Most,CZ042,Ústecký kraj,14731,819
2013,Z,66025059,25–59 let,CZ0426,Teplice,CZ042,Ústecký kraj,15151,725
2013,Z,66025059,25–59 let,CZ0427,Ústí nad Labem,CZ042,Ústecký kraj,15262,358
2013,Z,66025059,25–59 let,CZ0511,Česká Lípa,CZ051,Liberecký kraj,12995,642
2013,Z,66025059,25–59 let,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj,12383,524
2013,Z,66025059,25–59 let,CZ0513,Liberec,CZ051,Liberecký kraj,22649,733
2013,Z,66025059,25–59 let,CZ0514,Semily,CZ051,Liberecký kraj,10068,382
2013,Z,66025059,25–59 let,CZ0521,Hradec Králové,CZ052,Královéhradecký kraj,22164,556
2013,Z,66025059,25–59 let,CZ0522,Jičín,CZ052,Královéhradecký kraj,11182,440
2013,Z,66025059,25–59 let,CZ0523,Náchod,CZ052,Královéhradecký kraj,15571,377
2013,Z,66025059,25–59 let,CZ0524,Rychnov nad Kněžnou,CZ052,Královéhradecký kraj,11111,237
2013,Z,66025059,25–59 let,CZ0525,Trutnov,CZ052,Královéhradecký kraj,15111,519
2013,Z,66025059,25–59 let,CZ0531,Chrudim,CZ053,Pardubický kraj,15613,463
2013,Z,66025059,25–59 let,CZ0532,Pardubice,CZ053,Pardubický kraj,24777,759
2013,Z,66025059,25–59 let,CZ0533,Svitavy,CZ053,Pardubický kraj,14303,467
2013,Z,66025059,25–59 let,CZ0534,Ústí nad Orlicí,CZ053,Pardubický kraj,19351,649
2013,Z,66025059,25–59 let,CZ0631,Havlíčkův Brod,CZ063,Vysočina,12802,286
