"Ukazatel","IndicatorType","Druh zdravotní péče-Úroveň 1","HC.HCU1","Druh zdravotní péče-Úroveň 2","HC.HCU2","Druh zdravotní péče-Úroveň 3","HC.HCU3","Typ financování zdravotní péče-Úroveň 1","HF.HFU1","Typ financování zdravotní péče-Úroveň 2","HF.HFU2","Území","Uz0","Roky","CasR","Hodnota"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Celkem","0","","","Česko","CZ","2017","2017","190359.4537"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Celkem","0","","","Česko","CZ","2018","2018","205685.5383"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Celkem","0","","","Česko","CZ","2019","2019","225549.7065"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Celkem","0","","","Česko","CZ","2020","2020","274476.4227"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Celkem","0","","","Česko","CZ","2021","2021","293937.7301"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Celkem","0","","","Česko","CZ","2022","2022","317237.8962"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Veřejné zdroje","HF1","","","Česko","CZ","2010","2010","138105.4202"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Veřejné zdroje","HF1","","","Česko","CZ","2011","2011","139777.7582"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Veřejné zdroje","HF1","","","Česko","CZ","2012","2012","141293.746"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Veřejné zdroje","HF1","","","Česko","CZ","2013","2013","140998.4576"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Veřejné zdroje","HF1","","","Česko","CZ","2014","2014","152139.0052"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Veřejné zdroje","HF1","","","Česko","CZ","2015","2015","157407.0883"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Veřejné zdroje","HF1","","","Česko","CZ","2016","2016","165472.9456"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Veřejné zdroje","HF1","","","Česko","CZ","2017","2017","175272.4202"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Veřejné zdroje","HF1","","","Česko","CZ","2018","2018","188800.3656"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Veřejné zdroje","HF1","","","Česko","CZ","2019","2019","206754.1712"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Veřejné zdroje","HF1","","","Česko","CZ","2020","2020","259591.3504"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Veřejné zdroje","HF1","","","Česko","CZ","2021","2021","272347.5734"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Veřejné zdroje","HF1","","","Česko","CZ","2022","2022","288815.7663"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Soukromé zdroje","HF2","","","Česko","CZ","2010","2010","431.642583"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Soukromé zdroje","HF2","","","Česko","CZ","2011","2011","482.1664897"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Soukromé zdroje","HF2","","","Česko","CZ","2012","2012","932.9602019"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Soukromé zdroje","HF2","","","Česko","CZ","2013","2013","960.9545098"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Soukromé zdroje","HF2","","","Česko","CZ","2014","2014","775.0349848"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Soukromé zdroje","HF2","","","Česko","CZ","2015","2015","618.2093083"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Soukromé zdroje","HF2","","","Česko","CZ","2016","2016","508.2838138"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Soukromé zdroje","HF2","","","Česko","CZ","2017","2017","37.70809008"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Soukromé zdroje","HF2","","","Česko","CZ","2018","2018","24.28476142"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Soukromé zdroje","HF2","","","Česko","CZ","2019","2019","11.69725703"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Soukromé zdroje","HF2","","","Česko","CZ","2020","2020","8.941477454"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Soukromé zdroje","HF2","","","Česko","CZ","2021","2021","18.817239"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Soukromé zdroje","HF2","","","Česko","CZ","2022","2022","10.5950783"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Domácnosti","HF3","","","Česko","CZ","2010","2010","11275.59132"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Domácnosti","HF3","","","Česko","CZ","2011","2011","11365.50477"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Domácnosti","HF3","","","Česko","CZ","2012","2012","11550.9425"
