rok,pohlavi,vek_kod,vek_nazev,okres_lau_kod,okres_nazev,kraj_nuts_kod,kraj_nazev,pocet_vysetreni
2010,Z,66025029,25–29 let,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj,1867
2010,Z,66025029,25–29 let,CZ0314,Písek,CZ031,Jihočeský kraj,1331
2010,Z,66025029,25–29 let,CZ0315,Prachatice,CZ031,Jihočeský kraj,990
2010,Z,66025029,25–29 let,CZ0316,Strakonice,CZ031,Jihočeský kraj,1434
2010,Z,66025029,25–29 let,CZ0317,Tábor,CZ031,Jihočeský kraj,2429
2010,Z,66025029,25–29 let,CZ0321,Domažlice,CZ032,Plzeňský kraj,1160
2010,Z,66025029,25–29 let,CZ0322,Klatovy,CZ032,Plzeňský kraj,1533
2010,Z,66025029,25–29 let,CZ0323,Plzeň-město,CZ032,Plzeňský kraj,4208
2010,Z,66025029,25–29 let,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj,1286
2010,Z,66025029,25–29 let,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj,1724
2010,Z,66025029,25–29 let,CZ0326,Rokycany,CZ032,Plzeňský kraj,1081
2010,Z,66025029,25–29 let,CZ0327,Tachov,CZ032,Plzeňský kraj,1071
2010,Z,66025029,25–29 let,CZ0411,Cheb,CZ041,Karlovarský kraj,1540
2010,Z,66025029,25–29 let,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj,1995
2010,Z,66025029,25–29 let,CZ0413,Sokolov,CZ041,Karlovarský kraj,1719
2010,Z,66025029,25–29 let,CZ0421,Děčín,CZ042,Ústecký kraj,2249
2010,Z,66025029,25–29 let,CZ0422,Chomutov,CZ042,Ústecký kraj,2459
2010,Z,66025029,25–29 let,CZ0423,Litoměřice,CZ042,Ústecký kraj,2384
2010,Z,66025029,25–29 let,CZ0424,Louny,CZ042,Ústecký kraj,1607
2010,Z,66025029,25–29 let,CZ0425,Most,CZ042,Ústecký kraj,2128
2010,Z,66025029,25–29 let,CZ0426,Teplice,CZ042,Ústecký kraj,2118
2010,Z,66025029,25–29 let,CZ0427,Ústí nad Labem,CZ042,Ústecký kraj,2390
2010,Z,66025029,25–29 let,CZ0511,Česká Lípa,CZ051,Liberecký kraj,2233
2010,Z,66025029,25–29 let,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj,1910
2010,Z,66025029,25–29 let,CZ0513,Liberec,CZ051,Liberecký kraj,3614
2010,Z,66025029,25–29 let,CZ0514,Semily,CZ051,Liberecký kraj,1407
2010,Z,66025029,25–29 let,CZ0521,Hradec Králové,CZ052,Královéhradecký kraj,3635
2010,Z,66025029,25–29 let,CZ0522,Jičín,CZ052,Královéhradecký kraj,1699
2010,Z,66025029,25–29 let,CZ0523,Náchod,CZ052,Královéhradecký kraj,2146
2010,Z,66025029,25–29 let,CZ0524,Rychnov nad Kněžnou,CZ052,Královéhradecký kraj,1638
2010,Z,66025029,25–29 let,CZ0525,Trutnov,CZ052,Královéhradecký kraj,2222
2010,Z,66025029,25–29 let,CZ0531,Chrudim,CZ053,Pardubický kraj,2238
2010,Z,66025029,25–29 let,CZ0532,Pardubice,CZ053,Pardubický kraj,3821
2010,Z,66025029,25–29 let,CZ0533,Svitavy,CZ053,Pardubický kraj,2057
2010,Z,66025029,25–29 let,CZ0534,Ústí nad Orlicí,CZ053,Pardubický kraj,2609
2010,Z,66025029,25–29 let,CZ0631,Havlíčkův Brod,CZ063,Vysočina,1863
2010,Z,66025029,25–29 let,CZ0632,Jihlava,CZ063,Vysočina,2346
2010,Z,66025029,25–29 let,CZ0633,Pelhřimov,CZ063,Vysočina,1442
2010,Z,66025029,25–29 let,CZ0634,Třebíč,CZ063,Vysočina,2217
2010,Z,66025029,25–29 let,CZ0635,Žďár nad Sázavou,CZ063,Vysočina,2336
2010,Z,66025029,25–29 let,CZ0641,Blansko,CZ064,Jihomoravský kraj,2197
