"Ukazatel","IndicatorType","Typ financování zdravotní péče-Úroveň 1","HF.HFU1","Typ financování zdravotní péče-Úroveň 2","HF.HFU2","Poskytovatel zdravotní péče-Úroveň 1","HP.HPU1","Poskytovatel zdravotní péče-Úroveň 2","HP.HPU2","Území","Uz0","Roky","CasR","Hodnota"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní odvětví ekonomiky","HP8","","","Česko","CZ","2016","2016","5051"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní odvětví ekonomiky","HP8","","","Česko","CZ","2017","2017","5735.5"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní odvětví ekonomiky","HP8","","","Česko","CZ","2018","2018","6601.2"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní odvětví ekonomiky","HP8","","","Česko","CZ","2019","2019","7323"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní odvětví ekonomiky","HP8","","","Česko","CZ","2020","2020","8454"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní odvětví ekonomiky","HP8","","","Česko","CZ","2021","2021","9542"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní odvětví ekonomiky","HP8","","","Česko","CZ","2022","2022","9624"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Zahraniční poskytovatelé","HP9","","","Česko","CZ","2010","2010","413.7677655"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Zahraniční poskytovatelé","HP9","","","Česko","CZ","2011","2011","463.7830895"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Zahraniční poskytovatelé","HP9","","","Česko","CZ","2012","2012","501.9010845"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Zahraniční poskytovatelé","HP9","","","Česko","CZ","2013","2013","462.4290861"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Zahraniční poskytovatelé","HP9","","","Česko","CZ","2014","2014","521.9412596"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Zahraniční poskytovatelé","HP9","","","Česko","CZ","2015","2015","465.5418432"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Zahraniční poskytovatelé","HP9","","","Česko","CZ","2016","2016","469.9917526"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Zahraniční poskytovatelé","HP9","","","Česko","CZ","2017","2017","522.03294"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Zahraniční poskytovatelé","HP9","","","Česko","CZ","2018","2018","580.93386"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Zahraniční poskytovatelé","HP9","","","Česko","CZ","2019","2019","660.6336"
