"rok","pohlavi","vek_kod","vek_nazev","okres_lau_kod","okres_nazev","kraj_nuts_kod","kraj_nazev","pocet_vysetreni"
"2010","Z",66020000.0,"20–24 let","CZ0521","Hradec Kralove","CZ052","Kralovehradecky kraj",3266.0
"2010","Z",66020000.0,"20–24 let","CZ0522","Jicin","CZ052","Kralovehradecky kraj",1489.0
"2010","Z",66020000.0,"20–24 let","CZ0523","Nachod","CZ052","Kralovehradecky kraj",2167.0
"2010","Z",66020000.0,"20–24 let","CZ0524","Rychnov nad Kneznou","CZ052","Kralovehradecky kraj",1521.0
"2010","Z",66020000.0,"20–24 let","CZ0525","Trutnov","CZ052","Kralovehradecky kraj",2137.0
"2010","Z",66020000.0,"20–24 let","CZ0531","Chrudim","CZ053","Pardubicky kraj",2252.0
"2010","Z",66020000.0,"20–24 let","CZ0532","Pardubice","CZ053","Pardubicky kraj",3530.0
"2010","Z",66020000.0,"20–24 let","CZ0533","Svitavy","CZ053","Pardubicky kraj",1880.0
"2010","Z",66020000.0,"20–24 let","CZ0534","Usti nad Orlici","CZ053","Pardubicky kraj",2654.0
"2010","Z",66020000.0,"20–24 let","CZ0631","Havlickuv Brod","CZ063","Vysocina",1662.0
"2010","Z",66020000.0,"20–24 let","CZ0632","Jihlava","CZ063","Vysocina",2165.0
"2010","Z",66020000.0,"20–24 let","CZ0633","Pelhrimov","CZ063","Vysocina",1326.0
"2010","Z",66020000.0,"20–24 let","CZ0634","Trebic","CZ063","Vysocina",2122.0
"2010","Z",66020000.0,"20–24 let","CZ0635","Zdar nad Sazavou","CZ063","Vysocina",2253.0
"2010","Z",66020000.0,"20–24 let","CZ0641","Blansko","CZ064","Jihomoravsky kraj",1925.0
"2010","Z",66020000.0,"20–24 let","CZ0642","Brno-mesto","CZ064","Jihomoravsky kraj",7659.0
"2010","Z",66020000.0,"20–24 let","CZ0643","Brno-venkov","CZ064","Jihomoravsky kraj",4234.0
"2010","Z",66020000.0,"20–24 let","CZ0644","Breclav","CZ064","Jihomoravsky kraj",2182.0
"2010","Z",66020000.0,"20–24 let","CZ0645","Hodonin","CZ064","Jihomoravsky kraj",2261.0
"2010","Z",66020000.0,"20–24 let","CZ0646","Vyskov","CZ064","Jihomoravsky kraj",1791.0
"2010","Z",66020000.0,"20–24 let","CZ0647","Znojmo","CZ064","Jihomoravsky kraj",2222.0
"2010","Z",66020000.0,"20–24 let","CZ0711","Jesenik","CZ071","Olomoucky kraj",562.0
"2010","Z",66020000.0,"20–24 let","CZ0712","Olomouc","CZ071","Olomoucky kraj",4764.0
"2010","Z",66020000.0,"20–24 let","CZ0713","Prostejov","CZ071","Olomoucky kraj",2138.0
"2010","Z",66020000.0,"20–24 let","CZ0714","Prerov","CZ071","Olomoucky kraj",2385.0
"2010","Z",66020000.0,"20–24 let","CZ0715","Sumperk","CZ071","Olomoucky kraj",2429.0
"2010","Z",66020000.0,"20–24 let","CZ0721","Kromeriz","CZ072","Zlinsky kraj",2020.0
"2010","Z",66020000.0,"20–24 let","CZ0722","Uherske Hradiste","CZ072","Zlinsky kraj",2669.0
"2010","Z",66020000.0,"20–24 let","CZ0723","Vsetin","CZ072","Zlinsky kraj",2435.0
"2010","Z",66020000.0,"20–24 let","CZ0724","Zlin","CZ072","Zlinsky kraj",3683.0
