"kraj_kod","umrti_rok","umrti_vek_kategorie_kod","pocet_umrti"
"CZ031","2013",66050100.0,1
"CZ020","2013",66040000.0,4
"CZ020","2013",66080100.0,3
"CZ071","2013",66075100.0,2
"CZ041","2013",66050100.0,2
"CZ063","2013",66070100.0,1
"CZ064","2013",66086000.0,2
"CZ051","2013",66065100.0,2
"CZ051","2013",66080100.0,1
"CZ051","2013",66045000.0,1
"CZ064","2013",66040000.0,1
"CZ051","2013",66030000.0,1
"CZ071","2013",66030000.0,1
"CZ072","2013",66050100.0,1
"CZ020","2013",66050100.0,1
"CZ020","2013",66025000.0,2
"CZ031","2013",66055100.0,1
"CZ031","2013",66030000.0,1
"CZ051","2013",66075100.0,2
"CZ051","2013",66050100.0,1
"CZ052","2013",66035000.0,1
"CZ042","2013",66030000.0,1
"CZ080","2014",66055100.0,7
"CZ031","2014",66035000.0,1
"CZ051","2014",66086000.0,2
"CZ071","2013",66055100.0,1
"CZ063","2014",66060100.0,1
"CZ080","2014",66086000.0,5
"CZ031","2014",66045000.0,4
"CZ010","2014",66050100.0,3
"CZ042","2014",66075100.0,3
"CZ052","2014",66055100.0,4
"CZ052","2014",66080100.0,3
"CZ053","2014",66065100.0,1
"CZ032","2014",66065100.0,1
"CZ042","2014",66035000.0,2
"CZ051","2014",66050100.0,1
"CZ072","2014",66050100.0,1
"CZ071","2014",66070100.0,3
"CZ032","2014",66030000.0,1
"CZ042","2014",66065100.0,11
"CZ064","2014",66055100.0,5
"CZ064","2014",66080100.0,3
"CZ080","2014",66045000.0,1
"CZ080","2014",66075100.0,6
"CZ010","2014",66060100.0,9
"CZ071","2014",66050100.0,1
"CZ072","2014",66030000.0,3
"CZ010","2014",66075100.0,5
"CZ032","2014",66020000.0,1
"CZ064","2014",66086000.0,2
"CZ052","2014",66050100.0,3
"CZ072","2014",66060100.0,2
"CZ053","2014",66080100.0,3
"CZ072","2014",66035000.0,2
"CZ032","2014",66080100.0,1
"CZ072","2014",66055100.0,3
"CZ052","2014",66065100.0,3
"CZ020","2014",66055100.0,3
"CZ071","2014",66075100.0,4
"CZ064","2014",66060100.0,3
"CZ080","2014",66070100.0,2
"CZ080","2014",66080100.0,2
"CZ064","2014",66065100.0,6
"CZ080","2014",66050100.0,2
"CZ072","2014",66080100.0,2
"CZ063","2014",66040000.0,2
"CZ064","2014",66070100.0,3
"CZ042","2014",66070100.0,3
"CZ010","2014",66086000.0,5
"CZ010","2014",66070100.0,4
"CZ020","2014",66065100.0,8
"CZ071","2014",66086000.0,2
"CZ010","2014",66080100.0,2
"CZ052","2014",66045000.0,2
"CZ072","2014",66086000.0,2
"CZ052","2014",66060100.0,3
"CZ020","2014",66075100.0,3
"CZ053","2014",66055100.0,4
"CZ042","2014",66030000.0,1
"CZ064","2014",66075100.0,1
"CZ032","2014",66086000.0,1
"CZ053","2014",66045000.0,3
"CZ010","2014",66045000.0,2
"CZ020","2014",66035000.0,1
"CZ010","2014",66065100.0,7
"CZ063","2014",66070100.0,2
"CZ041","2014",66050100.0,2
"CZ032","2014",66060100.0,1
"CZ051","2014",66075100.0,1
"CZ063","2014",66050100.0,3
"CZ010","2014",66035000.0,3
"CZ052","2014",66075100.0,2
"CZ042","2014",66045000.0,1
"CZ064","2014",66030000.0,1
"CZ052","2014",66070100.0,5
"CZ020","2014",66045000.0,6
"CZ064","2014",66045000.0,3
"CZ041","2014",66045000.0,2
"CZ051","2014",66070100.0,1
"CZ053","2014",66086000.0,2
"CZ031","2014",66050100.0,2
